student_id,subject_id,grade,semester,year,curriculum
f31df81d081367bb50462e95405acd57,01006028,C+,1,2560,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01006030,D,1,2560,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076001,C,1,2560,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076002,B+,1,2560,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,90201001,C+,1,2560,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,90306003,B+,1,2560,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01006031,F,2,2560,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076003,D,2,2560,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076004,D+,2,2560,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076012,D,2,2560,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,90201002,C,2,2560,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,90402008,C+,2,2560,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01006031,D+,3,2560,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,03456227,A,3,2560,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076006,D+,1,2561,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,90108007,B,1,2561,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,90201026,B,1,2561,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076005,D+,2,2561,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,90106002,B,2,2561,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,90306008,F,2,2561,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,90401013,B+,2,2561,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,03456216,A,3,2561,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,90201016,B,3,2561,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076008,C+,1,2562,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076032,F,1,2562,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076263,C+,1,2562,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076013,C,2,2562,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076014,B+,2,2562,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076023,A,2,2562,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076423,B+,2,2562,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076582,C+,2,2562,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01006004,S,3,2562,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076007,D,1,2563,วิศวกรรมคอมพิวเตอร์
f31df81d081367bb50462e95405acd57,01076011,C,1,2563,วิศวกรรมคอมพิวเตอร์
